id,y,age,agecat,sexe,school_type,parent_educ,study_hrs,sleep_hrs,sleep_qual,attend_pct,attend_pct_cat,web_access,trav_time,extra_act,study_method
108,74.09999999999999,15.5,2,3,2,6,7.4,9.1,3,96.3,4,2,1,2,2
109,86,15,1,2,2,6,9.199999999999999,8,3,95.40000000000001,4,2,2,2,1
110,38,14.9,1,3,2,6,3.4,7.7,3,63,2,2,2,1,6
111,43.2,16.3,3,2,2,6,6.7,6,1,76.59999999999999,3,2,3,2,1
112,58.4,14.5,1,1,1,2,7.5,8.9,3,67.2,2,2,4,2,1
113,45.4,14.5,1,2,1,4,7.3,6,1,52.8,1,2,4,1,1
114,50.3,18.7,5,3,2,5,4,8.1,3,61.2,1,1,1,1,2
115,59.7,14.9,1,3,1,6,13.3,4.2,1,90,4,2,3,2,2
116,37.6,17.8,4,3,2,1,2,9.1,3,62.6,2,1,4,1,5
117,46.8,18.7,5,3,1,5,7.1,5.1,1,59.4,1,2,2,1,1
118,47.2,17.6,4,1,1,6,5.1,7.7,3,80.3,3,2,2,2,1
119,51.9,18.5,5,3,2,4,6.6,6.5,2,65.8,2,2,1,1,1
120,61.9,18.2,5,2,1,4,10.8,7.6,1,72,3,2,1,2,1
121,48.6,18.1,5,3,1,4,8,8.6,3,66.2,2,2,1,2,2
122,43.8,18.5,5,2,1,6,4.9,6.5,1,60.6,1,2,3,2,5
123,65.2,16.9,3,1,2,3,11.6,6,1,85.2,4,2,4,2,6
124,45.8,14.6,1,3,1,3,5.3,9,3,71.09999999999999,2,2,1,2,1
125,61.6,17.9,4,1,1,2,10.8,5.4,1,79.59999999999999,3,2,2,2,6
126,89.40000000000001,15.5,2,3,2,6,12.6,7.2,2,99.40000000000001,4,2,1,2,6
127,37.4,19,5,2,2,5,9.1,7.2,2,53.7,1,2,4,2,4
128,42.9,14.7,1,3,2,5,5.6,9.1,3,73,3,2,4,2,5
129,52.5,15.5,2,3,1,1,7.3,6.2,1,62.5,2,1,1,1,1
130,48.4,17.9,4,3,1,2,8.300000000000001,4.9,1,65.2,2,1,2,1,4
131,40.2,18.9,5,1,1,2,3.6,6.6,2,53.7,1,1,4,1,4
132,56.4,16.5,3,1,2,4,8.800000000000001,5,1,69.8,2,2,4,1,5
133,55.2,16.9,3,3,2,3,9.199999999999999,7.5,2,62.7,2,2,4,2,6
134,29.3,17.4,4,1,1,1,2.2,8.800000000000001,3,57.7,1,2,2,1,1
135,50.6,19,5,2,1,4,8.300000000000001,5.8,2,60.4,1,2,3,1,2
136,75.59999999999999,18.2,5,2,1,6,11.4,7.5,3,86.59999999999999,4,2,1,2,1
137,67.90000000000001,17,3,3,1,1,9.5,6.5,3,75.8,3,2,1,2,1
138,36.2,14.4,1,3,2,1,5.1,7.7,3,62.1,1,1,3,1,1
139,36.7,18.9,5,2,2,6,6.5,5.5,1,53.1,1,2,4,1,1
140,59.5,17.7,4,1,2,4,11,5.4,1,77.90000000000001,3,2,1,1,6
141,60.8,15.8,2,3,2,2,11.5,5.9,1,70.8,2,2,1,2,1
142,62.4,18.8,5,1,1,3,9.5,6.4,2,75.59999999999999,3,2,1,1,4
143,28.8,16.4,3,3,1,1,6.5,5.8,1,50.5,1,2,4,1,4
144,32.3,17.1,4,2,2,5,2.2,7.8,3,64.8,2,2,1,2,1
145,48.9,15.1,2,1,1,5,8.199999999999999,6.6,1,69.09999999999999,2,1,3,1,1
146,49,16.7,3,1,1,5,8.4,4.2,1,71.59999999999999,2,1,2,1,2
147,27.5,16.2,3,1,1,2,9.1,5.6,1,57,1,1,4,1,5
148,75.3,15,1,3,1,1,9.300000000000001,7.3,2,75.90000000000001,3,1,1,2,3
149,47.8,17.4,4,1,1,2,10.4,5.3,1,74.90000000000001,3,2,2,2,3
150,54.4,17.3,4,2,1,1,12.2,4.8,1,77.59999999999999,3,2,1,2,4
151,47.4,15.2,2,3,2,5,6,6.4,1,56.1,1,2,1,1,6
152,55.1,16.7,3,2,2,5,8.300000000000001,6.3,1,69.90000000000001,2,1,3,1,6
153,65,18,4,1,1,5,9.199999999999999,7.1,2,80.09999999999999,3,2,2,2,1
154,62.1,16.6,3,1,2,2,13.4,7,2,82,4,2,3,1,6
155,82.7,15.5,2,3,2,5,13.6,7.6,3,97.09999999999999,4,2,1,2,2
156,40.3,15.1,2,1,2,6,7.5,5.9,1,66.2,2,2,3,1,1
157,31.1,14.7,1,3,1,1,2.7,7.7,3,58,1,1,3,1,5
158,39,16.9,3,1,1,4,3.8,9.9,3,67.5,2,1,2,1,3
159,73,16,2,1,1,3,10.5,6.3,1,79.59999999999999,3,2,3,2,6
160,46.1,18.1,5,3,2,1,6.1,6.4,1,62.3,1,2,4,1,3
161,90.3,15.5,2,2,2,3,11.5,8.5,3,99.09999999999999,4,2,1,2,2
162,36.5,18.8,5,1,1,1,8.9,6.3,1,60.4,1,2,4,1,3
163,69.8,14.9,1,2,1,6,9.6,8.300000000000001,2,97.59999999999999,4,2,4,2,1
164,54.4,18.1,5,1,1,5,8.199999999999999,5.1,1,61.6,1,2,1,2,4
165,67.59999999999999,14.6,1,3,1,1,13.2,7.3,2,89.09999999999999,4,2,3,2,1
166,64.59999999999999,17.6,4,1,1,1,8.5,6.7,1,81.3,4,1,4,2,6
167,59.2,18.2,5,1,2,4,7.9,7.5,2,64.09999999999999,2,2,2,2,3
168,69.3,18.2,5,2,2,4,6.4,7.9,3,85.59999999999999,4,2,2,2,4
169,45.2,15.2,2,3,1,5,8.800000000000001,6.3,2,56.9,1,2,1,2,1
170,60.3,18,4,2,2,4,11.2,5.3,1,86.90000000000001,4,2,3,1,2
171,70.90000000000001,16.8,3,3,2,1,8.4,8.199999999999999,3,92.40000000000001,4,2,1,2,4
172,75.09999999999999,15.7,2,3,2,1,11.1,6.3,1,86.09999999999999,4,2,1,2,3
173,59.6,15.6,2,3,1,5,7.6,7.9,2,80.3,3,1,2,2,3
174,60,17.4,4,3,2,1,9.1,6.8,3,70.40000000000001,2,2,2,2,4
175,33.4,18.9,5,1,2,3,4.5,6.3,2,75.59999999999999,3,2,4,1,3
176,60,15.3,2,1,1,5,7.2,6.4,1,69.09999999999999,2,2,4,2,3
177,41.6,16.5,3,2,2,6,4.6,8.300000000000001,3,63,2,2,2,2,5
178,53,18,4,2,1,3,6.6,7.7,2,70.2,2,2,3,2,4
179,44.1,17,3,1,2,1,6.5,8.300000000000001,3,55,1,2,3,1,5
180,51,15.9,2,1,1,5,13.6,5.2,1,67.8,2,2,2,2,3
181,82.09999999999999,16.2,3,3,1,3,10.7,7.8,3,78.3,3,2,1,2,2
182,70.59999999999999,17.1,4,1,1,1,9.6,8,3,84.90000000000001,4,1,3,2,6
183,69.59999999999999,17.3,4,3,2,5,9.699999999999999,5.7,1,80.90000000000001,4,2,3,2,1
184,53.4,17.3,4,2,2,5,8.800000000000001,7,1,67.8,2,2,2,2,6
185,46.1,17.7,4,3,2,3,2.3,6.6,3,69.8,2,1,3,1,5
186,36,18.3,5,3,1,4,9.300000000000001,5.5,1,51.8,1,2,4,1,6
187,47,15.5,2,2,1,3,9.5,6.5,1,73.2,3,2,4,1,4
188,68.8,15.6,2,3,1,1,13.7,6.9,1,90.5,4,2,4,2,1
189,48.1,18.3,5,2,1,1,12.4,6.2,1,84.8,4,2,3,2,5
190,56.8,18.5,5,2,2,4,10.8,5.8,1,77.7,3,2,1,2,2
191,59.6,17.7,4,3,1,3,8.800000000000001,6.9,2,74.90000000000001,3,2,1,1,1
192,71,14.9,1,3,2,6,9.9,5.6,1,75.7,3,2,1,1,1
193,43.4,18.2,5,1,1,1,6.3,6.5,2,62.4,2,2,1,2,6
194,53.9,18,4,1,1,5,5.8,9.800000000000001,3,75.5,3,2,1,2,1
195,66.7,17.8,4,3,2,1,10.5,6.5,2,74.7,3,2,2,1,5
196,61.6,18.9,5,1,2,6,6.6,7.4,2,83,4,2,1,2,3
197,53.3,14.2,1,1,2,4,10.5,7.3,2,80.3,3,2,3,1,1
198,64.09999999999999,16.2,3,1,2,6,5.1,8.300000000000001,3,83.3,4,2,2,2,4
199,46.4,18.7,5,3,1,4,4.4,5.3,1,59.9,1,2,3,1,1
200,68.5,15.4,2,1,2,6,9.199999999999999,8.1,3,72.8,3,2,1,1,4
201,51.1,16.3,3,1,2,6,5.9,6.9,2,55.9,1,2,4,2,1
202,49,18.5,5,3,1,4,7.2,8.300000000000001,3,67.3,2,2,3,1,6
203,62.2,18.2,5,2,2,3,9.199999999999999,8.199999999999999,3,86.59999999999999,4,2,2,1,4
204,78.90000000000001,17,3,3,1,1,12.8,8,2,91.7,4,2,1,1,6
205,68.90000000000001,16.7,3,3,1,4,9.6,6.4,1,70.8,2,2,1,2,1
206,50.5,16.4,3,1,1,4,4.9,8.300000000000001,3,82.8,4,2,1,1,2
207,55.9,15.6,2,2,2,5,8,6.1,1,66.59999999999999,2,2,1,1,4
208,47.5,16.9,3,2,1,1,4.8,8,3,55,1,1,4,1,4
209,36.3,16.5,3,1,1,3,10.1,4.1,1,55.1,1,1,4,2,6
210,74.5,16.8,3,1,2,6,9.699999999999999,7.9,3,89.90000000000001,4,2,1,2,1
211,49.1,16.4,3,3,1,1,9.1,4,1,61.2,1,2,4,1,6
212,59.3,18.5,5,2,1,1,8,6.8,3,68.90000000000001,2,2,4,2,4
213,33.3,18.6,5,1,1,1,5,6,1,51.1,1,2,4,1,1
214,51.2,16.9,3,3,1,4,10.2,6.1,2,65.09999999999999,2,2,3,1,1
215,45.6,14,1,3,1,3,6.5,7.2,3,73.59999999999999,3,2,4,1,2
216,54.5,17.4,4,3,2,4,9,7.5,1,69.8,2,2,2,1,5
217,35.4,17.1,4,2,2,2,6.2,5.9,1,52.7,1,2,4,1,2
218,45.1,14.2,1,2,1,1,11.9,7.1,1,86.2,4,2,2,2,5
219,80.59999999999999,14.9,1,3,2,6,13.8,6.7,2,77.90000000000001,3,2,2,2,6
220,54.7,18.9,5,2,1,6,9.199999999999999,7.1,1,53.5,1,2,4,2,2
221,33.5,14.6,1,2,2,2,3.3,7,3,66.59999999999999,2,2,3,1,1
222,56.5,19,5,2,1,6,10.4,5,1,77,3,2,1,2,6
223,37.2,17.5,4,1,2,1,5.2,6.3,1,63.2,2,2,3,2,6
224,42.3,15.5,2,1,1,1,4.7,8.9,3,53.3,1,2,1,1,6
225,66.40000000000001,18.9,5,1,2,6,8.699999999999999,7.6,3,70,2,1,2,2,2
226,64.09999999999999,14.1,1,3,1,1,8.5,7.3,3,68.8,2,1,1,1,3
227,74.40000000000001,18.3,5,2,1,1,7.2,9,3,80.8,3,1,1,1,5
228,91.8,15.8,2,2,1,3,11.6,9.4,3,96.7,4,1,1,1,6
229,51.1,18.5,5,3,2,2,6.6,6.7,1,71.3,2,2,3,1,4
230,51.7,18.6,5,1,2,5,12,5.7,1,65,2,2,3,1,2
231,60.7,14.9,1,3,1,5,7.8,6.4,1,72.40000000000001,3,2,4,1,2
232,65.40000000000001,18.2,5,1,2,4,11.1,6.6,1,91.40000000000001,4,2,1,1,2
233,69.90000000000001,16.3,3,3,1,1,6.8,6.7,2,62.7,2,1,2,1,6
234,34.7,14,1,3,1,1,5.4,4.1,1,50.9,1,2,1,1,1
235,34.5,18.7,5,2,1,1,6.6,5,1,53,1,1,4,1,6
236,62.3,16.5,3,1,2,3,6.8,6.4,2,78.3,3,2,3,2,6
237,71.90000000000001,18.6,5,1,1,2,10.5,7.7,3,87,4,2,2,2,5
238,52.1,17.8,4,1,1,2,8.300000000000001,7.8,3,72.09999999999999,3,1,4,1,6
239,61.2,17.9,4,1,2,6,9.9,7.5,2,78.3,3,2,1,1,4
240,49.2,15.2,2,3,1,2,8.199999999999999,9.1,3,73.09999999999999,3,1,4,1,5
241,53.5,17.8,4,3,2,2,13,6.7,1,63.8,2,1,4,2,6
242,84.7,15.5,2,2,1,2,10.7,8.1,3,82.90000000000001,4,1,2,2,3
243,54.8,14.5,1,1,1,1,11.3,5.6,1,63,2,2,3,2,1
244,39.9,14.8,1,3,1,2,7.8,4.8,1,56.8,1,2,4,1,1
245,49.6,18.4,5,1,1,1,8.300000000000001,4.2,1,66.59999999999999,2,2,3,1,6
246,47.2,17.7,4,1,2,4,4.6,6,2,61,1,1,2,2,2
247,56.8,17.1,4,2,1,1,9.9,8.199999999999999,2,69,2,2,1,1,3
248,61.8,17.7,4,3,2,2,7.4,6.9,3,71,2,2,1,1,6
249,55.6,17.9,4,3,1,3,10.8,5.9,1,78.59999999999999,3,2,1,2,3
250,49.9,15.8,2,1,1,1,6.6,6.6,2,53.5,1,2,4,1,5
251,62.2,15.4,2,2,1,1,9,5.9,2,81.5,4,1,4,1,2
252,61.2,15.9,2,3,2,4,7.3,7.6,2,78.2,3,2,3,1,1
253,58,18.9,5,1,1,4,8.699999999999999,6.8,2,63.7,2,2,1,2,3
254,55,18.2,5,3,2,5,10.6,6.2,1,83.09999999999999,4,2,2,1,1
255,86.09999999999999,16.9,3,3,2,6,10.1,7.7,3,93.2,4,2,2,1,4
256,58.5,16.3,3,1,2,3,8.4,7.4,1,76.3,3,2,4,1,6
257,67.40000000000001,16.5,3,3,2,6,10.2,9.4,3,74,3,2,2,2,4
258,74.59999999999999,15.7,2,2,2,6,9.5,7,1,90.2,4,2,3,2,5
259,49.9,18.6,5,2,1,1,10.1,6.8,1,62.3,1,2,3,2,1
260,45.5,18.4,5,1,1,1,5.4,7.5,2,61.1,1,2,3,1,4
261,46.3,15.2,2,3,2,5,7.1,7.6,2,55.8,1,2,4,1,2
262,47.2,17.1,4,3,1,6,3.8,7.7,3,75.59999999999999,3,1,3,2,2
263,38,15,1,3,2,6,4.7,5.8,1,57.5,1,2,3,1,2
264,48.8,15.5,2,1,1,1,8.9,6.7,1,88.2,4,1,4,1,6
265,62.9,16,2,2,1,2,5.7,8.9,3,73,3,2,3,1,5
266,70.7,18.7,5,2,2,6,9.800000000000001,6.2,1,87.40000000000001,4,2,1,2,2
267,61.8,17.9,4,3,2,1,8.9,5.5,1,67.5,2,1,4,2,5
268,46.8,14.9,1,1,1,2,9.9,5,1,52.7,1,2,3,1,6
269,62,16.5,3,2,1,3,7.7,6.1,1,56.8,1,2,3,1,6
270,53.6,16,2,3,2,6,5.1,6.1,2,80.7,3,2,4,2,4
271,61.6,16.8,3,2,2,2,6.7,8,3,70.5,2,2,1,1,2
272,66.7,15.8,2,3,1,4,9.699999999999999,8,3,73.5,3,2,3,2,6
273,49.2,14.9,1,2,1,3,8.1,6,1,71,2,2,4,1,5
274,50.9,15.4,2,2,2,2,6.3,6.6,3,77.7,3,2,1,2,2
275,64.7,14,1,3,2,6,11.3,7,2,98.7,4,2,2,2,4
276,69.5,15.3,2,2,2,4,8.4,7,2,66,2,2,2,1,4
277,37,16.9,3,3,2,1,6.8,5.4,1,55.9,1,2,1,2,2
278,41.3,14.4,1,1,1,3,4,8.4,3,66.8,2,2,1,2,3
279,68.09999999999999,18.2,5,1,2,3,8.300000000000001,8.300000000000001,3,80.90000000000001,4,2,1,1,4
280,48.1,18.5,5,1,2,3,6.8,7,1,71.40000000000001,2,2,4,1,1
281,68.8,18.3,5,1,2,6,13.3,6.8,2,92.3,4,2,1,2,2
282,50.1,15.9,2,1,2,4,6.6,7.8,2,59.7,1,2,1,1,2
283,56.3,17.8,4,2,1,3,9.4,7.1,2,89.3,4,2,1,1,2
284,79.59999999999999,16.8,3,1,2,1,8.6,7.8,3,80.59999999999999,3,2,3,2,6
285,20.7,17.5,4,2,1,6,2.6,6.2,2,52.9,1,1,4,1,4
286,31.5,16.7,3,1,2,4,5.1,5.9,1,51.9,1,2,4,1,2
287,65.7,17.9,4,3,2,4,8.6,5.6,1,85.59999999999999,4,2,4,1,1
288,40.8,14.7,1,1,1,1,7.5,5.8,1,61.5,1,1,4,1,1
289,89.5,16.1,3,3,1,6,11.3,8.4,3,99.2,4,2,1,2,6
290,80.59999999999999,17.5,4,2,1,4,12.4,7.2,3,85.90000000000001,4,2,2,1,1
291,43.8,17.2,4,3,1,1,4.6,7.7,3,62.9,2,1,2,2,4
292,42,17,3,1,1,6,3.7,6.6,3,53.2,1,2,2,1,3
293,59.7,14.4,1,3,1,3,12.3,5.7,1,81.09999999999999,4,2,1,2,1
294,45.9,15.1,2,2,1,4,9.800000000000001,5.8,1,66.2,2,2,2,2,6
295,42.3,16.3,3,2,2,1,7.4,5.8,1,51.4,1,2,3,1,6
296,28.4,14.5,1,3,1,1,7.1,8.1,2,50.4,1,2,4,1,1
297,49.4,14.4,1,3,1,3,5.6,9.800000000000001,3,77.2,3,1,4,2,5
298,47.6,17.3,4,2,2,2,11,6.1,1,79.5,3,2,2,2,3
299,55.6,15.9,2,2,1,3,11.1,7.8,3,60,1,2,3,1,4
300,46.3,14.7,1,3,2,4,9,6.5,1,72.7,3,2,4,1,1
301,59.6,17.8,4,2,1,6,5.5,7.6,3,74.5,3,2,3,2,2
302,58.1,18.8,5,2,2,6,10.4,5.9,1,73.5,3,2,3,2,1
303,38.6,18.3,5,2,2,2,6.9,6.1,1,71.5,2,1,3,2,6
304,63.7,16.3,3,1,1,2,10.1,7.1,2,64.09999999999999,2,2,3,1,1
305,10.6,14.8,1,2,1,1,3,4.1,1,51.6,1,2,4,1,1
306,39.3,15.1,2,2,1,1,6.7,6.9,3,58.4,1,1,3,1,1
307,66.40000000000001,17,3,3,2,6,13.6,5.3,1,76.90000000000001,3,2,4,2,6
308,66.90000000000001,17.4,4,1,1,6,9.6,7,2,67.40000000000001,2,1,4,1,1
309,42.7,18.3,5,2,1,3,3,8.5,3,68.5,2,1,1,2,1
310,93.90000000000001,14.7,1,3,2,5,11.6,8.300000000000001,3,80.8,3,2,2,2,5
311,42.9,15,1,1,2,2,10.3,5.4,1,72.5,3,2,4,2,2
312,74.8,16,2,3,2,3,9.9,6.6,2,85.3,4,2,1,2,1
313,41.3,16.8,3,3,2,6,5.8,5.9,1,59.4,1,2,3,2,1
314,62.1,17.5,4,2,2,4,7.8,8.199999999999999,3,88.40000000000001,4,2,3,2,2
315,45.2,15.5,2,1,1,4,3.5,7.4,3,55.9,1,2,1,1,4
316,70.90000000000001,16.4,3,1,2,6,13.9,6.6,1,81,4,2,1,1,1
317,58.9,18.6,5,2,2,6,7.3,7,2,66.59999999999999,2,2,3,1,2
318,41.3,14.2,1,3,2,2,3.8,6.8,2,72.90000000000001,3,2,2,1,2
